"MULTIPOLYGON (((1680686.92778002 4851425.74089534,1681062.04674511 4850746.56074269,1681463.60581347 4850847.36363639,1681511.52850064 4850863.88870093,1681660.25408151 4850878.76125902,1681635.4664847 4850923.37893328,1681136.40953555 4851315.02296291,1681076.9193032 4851349.72559845,1680686.92778002 4851425.74089534)))",9,Statuto
"MULTIPOLYGON (((1684553.6135 4849544.3499,1685091.5723 4849287.4296,1685063.6796 4849201.5755,1685012.0332 4849042.6071,1684819.3823 4849138.057,1684282.2075 4849334.4098,1684263.527 4849284.4214,1684128.595 4849320.506,1684157.7939 4849425.5176,1684553.6135 4849544.3499)))",0,La Rondinella
"POLYGON ((1683001.36491139 4849044.39354641,1682962.62785249 4849075.00831876,1682936.07422341 4849113.43298201,1683032.60447501 4849268.06882195,1683176.61886331 4849498.30440585,1683141.63055205 4849554.53562037,1683245.49079617 4849630.01778658,1683733.62028271 4848975.04171516,1683666.14282528 4848896.0056192,1683377.48925741 4848926.93278718,1683281.58379708 4848937.24184318,1683187.24031494 4848948.17569045,1683148.50325605 4848961.92109844,1683113.51494479 4848975.3541108,1683089.14808517 4848985.03837552,1683074.15309463 4848995.97222279,1683036.97801392 4849015.34075224,1683001.36491139 4849044.39354641))",1,Capo di Mondo
"MULTIPOLYGON (((1679940.21782998 4850750.72033641,1679728.37752459 4850432.95987833,1679648.71856678 4850304.28002341,1679211.9983 4850608.0,1679217.9358 4850617.5,1679222.9983 4850625.0,1679258.9983 4850673.0,1679276.9052 4850697.0817,1679287.9983 4850712.0,1679327.0202 4850765.776,1679354.2008 4850803.2337,1679403.3471 4850895.7914,1679406.9983 4850899.0,1679418.9983 4850907.0,1679425.9983 4850912.0,1679434.9983 4850917.0,1679448.9983 4850924.0,1679467.9983 4850930.0,1679472.9983 4850932.0,1679495.9983 4850936.0,1679501.9983 4850937.0,1679510.9983 4850937.0,1679520.9983 4850936.0,1679544.4575 4850938.3556,1679564.2637 4850934.7526,1679585.8704 4850926.9462,1679590.6719 4850925.1447,1679597.274 4850923.3432,1679606.877 4850920.3408,1679625.4827 4850914.9364,1679630.8844 4850911.9339,1679634.4855 4850910.1324,1679644.0885 4850905.3285,1679651.2908 4850902.326,1679656.0923 4850898.7231,1679669.9983 4850892.0,1679679.9983 4850887.0,1679708.9983 4850873.0,1679721.9983 4850866.0,1679732.5807 4850862.6317,1679748.5211 4850854.8871,1679753.9227 4850853.6861,1679761.9983 4850848.0,1679769.9983 4850844.0,1679779.9983 4850840.0,1679792.616 4850833.8087,1679811.2023 4850825.3105,1679818.0888 4850823.5879,1679825.5493 4850818.4204,1679848.5045 4850806.9369,1679853.0955 4850805.2144,1679862.8515 4850800.6211,1679871.9983 4850796.0,1679880.9983 4850792.0,1679898.9983 4850781.0,1679907.9983 4850777.0,1679918.9983 4850771.0,1679928.9983 4850765.0,1679940.21782998 4850750.72033641)))",2,Polverosa
"MULTIPOLYGON (((1678883.64242253 4849581.22179097,1678818.86480849 4849337.86805172,1678831.12003277 4849236.32476484,1678764.5916724 4849225.82028689,1678680.55584877 4849166.29491182,1678402.18718301 4849133.03073164,1678227.18834481 4849230.00641775,1677961.63443749 4849391.42153788,1678080.04985912 4849616.23671748,1678251.62299902 4849894.60538324,1678496.72748459 4849759.79791617,1678759.33943342 4849654.75313664,1678883.64242253 4849581.22179097)))","3",Isolotto
"POLYGON ((1681827.7785732 4849684.64406039,1682129.77184029 4850227.84600725,1682142.31469163 4850236.52951972,1682088.28394736 4850303.10311534,1681976.36311995 4850357.13385961,1681762.16981231 4850276.08774321,1681635.7764641 4850229.77567669,1681448.5985286 4849891.11869028,1681827.7785732 4849684.64406039))",4,San Giovanni
"MULTIPOLYGON (((1683375.38731735 4849725.61091178,1682994.09319656 4850237.26199694,1682832.77645315 4850287.77532064,1682959.87449341 4850528.93570473,1683086.97253368 4850480.05184309,1683170.07509846 4850465.3866846,1683220.97000099 4850468.03612028,1683303.69098694 4850489.82861541,1683429.15956515 4850563.15440787,1683486.8994006 4850606.74348154,1683517.82142381 4850561.68567629,1683684.80034915 4850470.68657941,1683776.6829324 4850410.60950574,1683860.61413826 4850364.66821412,1683879.29845775 4850347.25068563,1683853.22706488 4850238.891459,1683766.05084495 4850229.9294177,1683712.27859715 4850198.15490763,1683647.10011496 4850119.94072901,1683379.46097248 4849724.79618076,1683375.38731735 4849725.61091178)))",5,Stadio
"MULTIPOLYGON (((1683700.37167478 4848168.85181644,1684434.88169401 4848120.52878886,1684431.01585181 4847751.34085814,1684340.16855995 4847372.4883219,1684224.19329376 4847403.41505955,1684048.29747336 4847484.11451561,1683823.59539511 4847651.79542132,1683748.89816774 4847736.74675882,1683885.07463945 4847867.81661284,1683796.55993284 4848009.09970224,1683719.9606675 4848104.42323243,1683700.37167478 4848168.85181644)))",6,Unnamed
"MULTIPOLYGON (((1678632.06724323 4851081.5813452,1677901.82091368 4851365.84972989,1677901.82091368 4851425.42693627,1677886.50106061 4851524.15487826,1677879.69223703 4851660.33134997,1677929.05620802 4851779.48576271,1678158.85400403 4851629.69164383,1678737.6040088 4851319.89017069,1678632.06724323 4851081.5813452)))",7,Novoli
"MULTIPOLYGON (((1681360.03019254 4848558.31124042,1681344.40937446 4848521.8626649,1681155.22391108 4848370.86142349,1680861.89966052 4848174.7333743,1680438.40192598 4848440.28728161,1680526.91989508 4848634.67968435,1680573.78234931 4848771.79575414,1680617.17351064 4848773.53140059,1680629.32303581 4848815.18691547,1680599.81704611 4848836.0146729,1680617.17351064 4848882.87712714,1681360.03019254 4848558.31124042)))",8,Santo Spirito
